ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?",Categories,Tags,"Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text",Position,"Regular price","Sale price"
100,simple,CB-001,"哥倫比亞單品咖啡豆",1,1,visible,"來自哥倫比亞的優質單品咖啡豆","這款哥倫比亞單品咖啡豆擁有濃郁的巧克力香氣,伴隨著細微的柑橘風味。中等烘焙,適合各種沖煮方式。",,,"taxable",,1,100,10,0,0,0.5,15,10,20,1,"咖啡豆,單品咖啡","哥倫比亞,中度烘焙",,https://104.es/images/coffee/colombian_single_origin_coffee_beans.jpg,,,,,,,,,0,499,449
101,simple,CB-002,"義大利深焙咖啡豆",1,0,visible,"傳統義大利風味深焙咖啡豆","這款義大利深焙咖啡豆口感濃郁,帶有明顯的烘焙香氣和微微的甜味。非常適合製作義式濃縮咖啡和拿鐵。",,,"taxable",,1,150,15,0,0,0.5,15,10,20,1,"咖啡豆,綜合咖啡","義大利,深焙",,https://104.es/images/coffee/italian_dark_roast_coffee_beans.jpg,,,,,,,,,0,459,399
102,simple,CB-003,"衣索比亞耶加雪菲咖啡豆",1,1,visible,"花香四溢的衣索比亞精品咖啡","來自耶加雪菲產區的這款咖啡豆,具有明顯的花香和柑橘調性,口感清爽明亮,是精品咖啡愛好者的最愛。",,,"taxable",,1,80,8,0,0,0.5,15,10,20,1,"咖啡豆,單品咖啡","衣索比亞,耶加雪菲,淺焙",,https://104.es/images/coffee/ethiopian_yirgacheffe_coffee_beans.jpg,,,,,,,,,0,599,549
103,simple,CB-004,"綜合咖啡豆",1,0,visible,"均衡風味的綜合咖啡豆","這款綜合咖啡豆混合了來自不同產區的優質豆種,口感均衡,風味層次豐富,適合日常飲用。",,,"taxable",,1,200,20,0,0,0.5,15,10,20,1,"咖啡豆,綜合咖啡","綜合,中度烘焙",,https://104.es/images/coffee/blend_coffee_beans.jpg,,,,,,,,,0,429,379
104,simple,CB-005,"巴西黃波旁咖啡豆",1,0,visible,"甜美醇厚的巴西黃波旁","巴西黃波旁咖啡豆以其醇厚的口感和堅果香氣聞名,這款中度烘焙更突出了其天然的甜美風味。",,,"taxable",,1,120,12,0,0,0.5,15,10,20,1,"咖啡豆,單品咖啡","巴西,黃波旁,中度烘焙",,https://104.es/images/coffee/brazilian_yellow_bourbon_coffee_beans.jpg,,,,,,,,,0,479,429
105,simple,CM-001,"半自動義式咖啡機",1,1,visible,"專業級半自動義式咖啡機","這台半自動義式咖啡機擁有15 bar壓力,可以沖煮出完美的義式濃縮。配備專業級蒸汽噴嘴,方便製作各種奶泡咖啡。",,,"taxable",,1,30,5,0,0,10,30,25,40,1,"咖啡機,義式咖啡機","半自動,義式濃縮",,https://104.es/images/coffee/semi_automatic_espresso_machine.jpg,,,,,,,,,0,8999,7999
106,simple,CM-002,"全自動咖啡機",1,1,visible,"一鍵式全自動咖啡機","這款全自動咖啡機從研磨到沖煮一氣呵成,內建多種咖啡程序,還可以根據個人喜好進行客製化設定。",,,"taxable",,1,25,3,0,0,12,35,30,45,1,"咖啡機,全自動咖啡機","全自動,一鍵式操作",,https://104.es/images/coffee/fully_automatic_coffee_machine.jpg,,,,,,,,,0,15999,14599
107,simple,CM-003,"法式濾壓壺",1,0,visible,"經典法式濾壓壺","這款1000ml的法式濾壓壺採用高質量不銹鋼和耐熱玻璃製成,簡單易用,能夠最大程度保留咖啡原味。",,,"taxable",,1,50,10,0,0,0.8,15,15,25,1,"咖啡機,手沖咖啡","法式濾壓,手沖",,https://104.es/images/coffee/french_press.jpg,,,,,,,,,0,1299,1099
108,simple,CM-004,"電動磨豆機",1,0,visible,"專業級電動磨豆機","這款電動磨豆機擁有40段研磨粗細調節,適合各種沖煮方式。使用優質錐形刀盤,確保研磨均勻,風味更佳。",,,"taxable",,1,40,5,0,0,2,20,15,30,1,"咖啡機,磨豆機","電動磨豆機,錐形刀盤",,https://104.es/images/coffee/electric_coffee_grinder.jpg,,,,,,,,,0,3999,3599
109,simple,CM-005,"手沖咖啡套裝",1,1,visible,"精美手沖咖啡組合","這套手沖咖啡套裝包含550ml的手沖壺、V60濾杯、濾紙和雙層玻璃杯,讓您在家也能輕鬆品嚐專業級手沖咖啡。",,,"taxable",,1,35,5,0,0,1.5,30,20,15,1,"咖啡機,手沖咖啡","手沖套裝,V60",,https://104.es/images/coffee/pour_over_coffee_set.jpg,,,,,,,,,0,2499,2199
