ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Stock
200,simple,TL-001,萬用扳手,1,0,visible,多用途萬用扳手，適合各種日常維修需求。,這款萬用扳手能夠快速適應各種尺寸的螺栓和螺母，讓您輕鬆完成維修工作。,299,269,7
201,simple,TL-002,電動螺絲起子,1,0,visible,電動螺絲起子，省時省力，適合家庭使用。,電動螺絲起子輕巧方便，能夠自動擰緊或鬆開螺絲，大大提高工作效率。,399,359,15
202,simple,TL-003,雙頭鎚子,1,0,visible,高強度雙頭鎚子，適合木工及建築工地使用。,雙頭鎚子採用高強度鋼材製成，能夠承受強烈衝擊，是木工和建築工人的理想工具。,159,149,3
203,simple,TL-004,工具箱,1,0,visible,堅固耐用的多功能工具箱，收納所有必要工具。,這款工具箱擁有多個隔間和加固設計，適合攜帶和存放各種工具，保持工作場所整潔。,499,449,19
204,simple,TL-005,測量水平儀,1,0,visible,精準測量的水平儀，適合建築及裝修工程。,水平儀具有高精度的測量功能，適合在裝修和建築工程中用來保持水平和垂直。,129,119,11
205,simple,TL-006,電焊機,1,0,visible,專業電焊機，適合金屬焊接和修理。,專業級電焊機能夠快速且有效地進行焊接操作，適合金屬材料的焊接和修復。,999,899,6
206,simple,TL-007,鑽孔機,1,0,visible,高效能鑽孔機，適合木材、牆面等材質。,鑽孔機擁有強大的動力，能夠快速在各種材料上鑽孔，適合木工和家庭修理。,899,799,13
207,simple,TL-008,手動鋸子,1,0,visible,手動鋸子，適合精細木工切割。,這款手動鋸子鋒利且操作簡單，適合進行精細的木工切割，確保工作高效完成。,199,179,8
208,simple,TL-009,玻璃切割器,1,0,visible,高精度玻璃切割器，適合家庭及專業使用。,玻璃切割器能夠精準地切割玻璃，不易產生碎屑，是家庭和專業人士的必備工具。,149,139,17
209,simple,TL-010,強力膠,1,0,visible,強力膠，適合各種材質的固定和粘合。,強力膠擁有極強的粘合效果，能夠輕鬆固定各種材質，適合家庭修理和工業應用。,49,39,4
