ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?",Categories,Tags,"Shipping class","imagess","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text",Position,"Regular price","Sale price"
1,simple,PEN-001,"高級鋼筆",1,0,visible,"優雅流暢的書寫體驗","這支高級鋼筆採用精密工藝，筆尖順滑，墨水流動均勻，讓您的每一筆書寫都成為享受。",,,"taxable",,1,50,5,0,0,0.05,14,1,1,1,"文具,筆","鋼筆,書寫",,https://104.es/images/stationery/pen-001.jpg,,,,,,,,,0,299,259
2,simple,NB-002,"環保筆記本",1,1,visible,"使用再生紙製作的環保筆記本","這款筆記本使用 100% 再生紙製作，不僅環保還能提供絕佳的書寫體驗。紙張厚實，不透墨，適合各種筆類使用。",,,"taxable",,1,100,10,0,0,0.3,21,15,2,1,"文具,筆記本","環保,辦公",,https://104.es/images/stationery/notebook-002.jpg,,,,,,,,,0,149,129
3,simple,HL-003,"螢光筆組合",1,0,visible,"多色螢光筆組合，標記更有效率","這組螢光筆包含 6 種亮眼顏色，讓您的筆記和重點標記更加醒目。筆尖設計細緻，不易暈染。",,,"taxable",,1,200,20,0,0,0.1,16,8,2,1,"文具,筆","螢光筆,學習",,https://104.es/images/stationery/highlighter-003.jpg,,,,,,,,,0,99,89
4,simple,ST-004,"訂書機",1,0,visible,"堅固耐用的辦公室必備品","這款訂書機採用金屬構造，耐用性強，可同時訂製多達 20 張紙。ergonomic 設計，使用舒適。",,,"taxable",,1,50,5,0,0,0.5,15,7,6,1,"文具,辦公用品","訂書機,文件處理",,https://104.es/images/stationery/stapler-004.jpg,,,,,,,,,0,179,159
5,simple,ER-005,"高品質橡皮擦",1,0,visible,"不留痕跡的優質橡皮擦","這款橡皮擦能夠輕鬆擦除鉛筆痕跡，不會損壞紙張。特殊材質設計，減少橡皮屑，保持桌面整潔。",,,"taxable",,1,300,30,0,0,0.02,6,3,1,1,"文具,修正用品","橡皮擦,學生用品",,https://104.es/images/stationery/eraser-005.jpg,,,,,,,,,0,39,35
6,simple,CL-006,"彩色鉛筆套裝",1,1,visible,"36 色專業級彩色鉛筆","這套彩色鉛筆包含 36 種豐富色彩，顏色飽和度高，適合繪畫和著色。筆芯柔軟，易上色，適合各種紙張使用。",,,"taxable",,1,50,5,0,0,0.4,19,12,2,1,"文具,繪畫用品","彩色鉛筆,藝術",,https://104.es/images/stationery/coloring-pencils-006.jpg,,,,,,,,,0,249,229
7,simple,PP-007,"便利貼組合",1,0,visible,"多尺寸便利貼套裝","這組便利貼包含不同尺寸和顏色，適合各種標記和臨時記錄需求。採用優質黏膠，不易脫落又不傷紙張。",,,"taxable",,1,100,10,0,0,0.2,10,8,5,1,"文具,辦公用品","便利貼,記事",,https://104.es/images/stationery/sticky-notes-007.jpg,,,,,,,,,0,89,79
8,simple,RU-008,"30cm 直尺",1,0,visible,"精準刻度的透明直尺","這把 30cm 直尺採用高強度透明材質，不易彎曲變形。刻度精準清晰，兩側皆有公制和英制刻度。",,,"taxable",,1,150,15,0,0,0.05,31,4,0.5,1,"文具,測量工具","直尺,繪圖用具",,https://104.es/images/stationery/ruler-008.jpg,,,,,,,,,0,59,49
9,simple,SC-009,"剪刀",1,0,visible,"鋒利耐用的辦公剪刀","這把剪刀採用不鏽鋼材質，鋒利耐用。人體工學握把設計，使用舒適。適合各種紙張和輕薄材料的剪裁。",,,"taxable",,1,75,8,0,0,0.1,20,8,1.5,1,"文具,辦公用品","剪刀,文具",,https://104.es/images/stationery/scissors-009.jpg,,,,,,,,,0,129,109
10,simple,FO-010,"文件夾",1,1,visible,"A4 大小雙夾文件夾","這款 A4 文件夾採用耐用 PP 材質，雙夾設計可妥善保護文件。多種顏色可選，適合分類整理各類文件。",,,"taxable",,1,100,10,0,0,0.2,31,25,3,1,"文具,文件收納","文件夾,辦公室用品",,https://104.es/images/stationery/folder-010.jpg,,,,,,,,,0,69,59
